Curve_date,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23
2012-05-19,27819,24833,20433,15287,9915,6129,5670,8120,12827,17867,21313,23450,23700,22631,22256,20494,17725,21125,26935,28622,27710,28608,29863,30618
2012-05-20,28827,26478,22125,16827,10756,5328,4980,6309,10547,14559,18894,21942,23433,24148,23785,22103,19558,21522,24141,22365,21752,21832,17086,13665
2012-05-21,10063,6021,4016,2852,2825,4173,11098,18984,23603,22305,21361,21683,21033,21127,21555,20460,17400,22174,27063,28257,24353,24771,23360,17383
2012-05-22,12011,7125,4203,2729,2557,4288,12817,23415,26147,26302,23124,22733,23030,22487,23990,22949,18252,23030,27980,28352,26935,26279,24197,20370
2012-05-23,14071,8817,5287,3592,3266,4336,11615,21670,25683,24289,21729,21427,22460,21445,21851,19350,14969,19486,25203,28264,26561,27092,25772,22210
2012-05-24,15914,10293,6232,4162,3549,4377,11772,21026,24022,22437,20746,22054,20702,19616,20043,17507,14215,17664,23512,26459,25127,25801,24320,22443
2012-05-25,18250,12656,8919,6125,4616,4258,9659,16617,21827,21610,18908,19277,20573,20532,21313,19098,16153,20407,24352,25887,22171,22542,22622,25050
2012-05-26,24257,19651,16744,13438,9118,4885,4867,6468,9339,12969,16158,17366,19460,20553,19395,19334,17590,21749,22287,22518,18863,18927,20560,21650
2012-05-27,20797,17852,14732,11901,8159,3825,3231,4350,5434,8807,12065,14330,15854,16594,17643,16525,16158,17222,18486,17157,16020,16387,18121,16701
2012-05-28,14459,12043,8639,6399,4269,2794,3454,4453,5635,7451,10812,12569,14196,15917,16533,17224,15943,17245,18871,19278,17559,17601,16674,13618
2012-05-29,8498,5119,3282,2282,2327,4258,12244,22134,26068,24854,22202,21569,23755,24089,25084,23711,18688,24426,29757,29583,26071,27901,20627,15487
2012-05-30,11431,7260,4491,2934,2530,3922,11989,21864,26462,24530,21531,21124,22329,22614,23458,21372,17646,22083,27715,29330,27097,27193,24960,20698
2012-05-31,14831,8676,5592,3459,2937,3938,11358,20687,23888,21993,20375,20017,20746,20705,21504,19590,15655,18529,24638,26904,25538,26274,24949,22663
2012-06-01,23991,15966,10963,6945,5083,5265,12516,23054,28243,26427,24143,23904,24868,24407,26385,23406,19494,24551,32058,35644,32956,31182,34177,33174
2012-06-02,31321,26965,21340,15039,9171,4809,5365,9968,12267,16291,19828,22391,23378,24035,23266,23078,21283,24784,28176,30711,26967,28351,31062,33255
2012-06-03,31967,28438,24701,19483,12317,5343,4716,6799,9024,13470,17971,20512,21892,22159,24206,20609,20226,23006,24174,22730,21559,20887,19765,16297
2012-06-04,11232,6778,4296,2805,2850,4613,12622,23626,28021,27263,25205,24162,24447,22632,24480,23780,19948,24262,30820,31013,29073,28108,26268,18863
2012-06-05,12727,7321,4498,2962,2657,4326,12665,24525,29516,27810,24890,25311,26165,24995,26955,24794,20194,25349,31429,33620,31841,32351,29549,25147
2012-06-06,15962,9542,5725,3992,3218,4635,13493,25041,29981,28164,25547,25109,26074,25193,26391,23911,18777,22578,30096,35940,32810,32567,31480,27036
2012-06-07,18747,11251,7394,4748,3898,4799,13333,24892,29242,27786,25477,25418,26470,25754,26272,23835,18886,23919,31048,34137,33071,33547,32703,31386
2012-06-08,24959,16860,11807,7387,5386,5318,12912,23414,28421,27363,25009,24880,25108,24479,25722,22485,18047,23308,30264,33713,31697,31493,32666,33125
2012-06-09,31133,27380,22606,16873,10266,5105,5385,8659,11836,17857,22860,24400,25351,26176,23187,22866,20641,25553,27680,30222,27029,27460,29745,33239
2012-06-10,31059,28541,24043,18902,11423,5321,4782,6040,8926,13271,17937,20413,21655,21796,22417,21076,19059,21321,23644,22706,20323,20139,19112,17142
2012-06-11,11468,7302,4713,3251,3105,5117,12760,22287,26783,25625,22218,22163,22954,22712,24134,23415,20810,25850,31239,31044,27569,28052,25590,19393
2012-06-12,12319,7189,4435,2961,2621,4508,12804,23995,29371,27562,24698,24996,28281,26548,27637,23199,18664,23142,29361,32184,31654,33514,30839,25816
2012-06-13,17512,9573,5479,3501,3027,4540,12957,24196,29390,27856,24940,25514,26857,25031,26545,23975,18658,23822,31157,33483,31788,32621,31571,27027
2012-06-14,18961,11524,7218,4648,3837,4906,12909,24034,29136,27758,25423,25119,25690,25024,26089,22778,18482,23614,30233,33114,32789,32667,32365,30290
2012-06-15,26695,18302,11933,7438,5464,5702,12736,22095,27538,26584,24245,23733,24449,23653,25386,22025,17633,22664,29567,32705,30950,31188,32249,32668
2012-06-16,30905,27544,23462,17727,11360,5487,5620,7836,11766,16906,19928,22099,23194,23978,23278,22314,20019,23742,27119,29408,25640,26612,30092,31191
2012-06-17,29484,27016,22682,17273,11329,5105,4577,6138,8152,12640,17368,20049,21460,22126,22121,20467,19236,21621,23030,23069,21573,21986,20658,17401
2012-06-18,11534,6827,4178,2971,2990,4862,12708,21226,25724,24638,20953,21047,22140,22133,23089,22368,20114,25680,30355,29997,27684,27680,24899,18477
